TRI_FACILITY_ID,count,FACILITY_NAME,COUNTY,air_releases,fugitive_air,stack_air,LATITUDE,LONGITUDE
95050SNTCL1773G,2,SANTA CLARA PLATING CO INC,SANTA CLARA,1462,1462,0,37.358639,-121.944263
95050TCHNC1000W,4,TECHNICAL COATINGS CO  SANTA CLARA,SANTA CLARA,20505,5,20500,37.3698,-121.95252
95050TNDYM1600M,1,TANDY MAGNETIC MEDIA,SANTA CLARA,2650,250,2400,37.36474,-121.95644
95050WNSCR960CE,3,OWENS CORNING SANTA CLARA PLANT,SANTA CLARA,76754,753,76001,37.37431,-121.95348
95050XDXCR5440P,3,XIDEX CORP,SANTA CLARA,62750,16250,46500,37.41017,-121.98478
95050ZYCNC3033S,4,ZYCON CORP,SANTA CLARA,1000,0,1000,37.37726,-121.96135
95051DYNCR2919S,5,DYNA-CRAFT INC,SANTA CLARA,2250,1250,1000,37.37476,-121.9977
95051NTRSL3250S,2,HARRIS/INTERSIL INC,SANTA CLARA,14000,12500,1500,37.37963,-121.9717
95051PNNSL2964C,1,PENINSULA CIRCUIT BOARDS INC,SANTA CLARA,250,250,0,37.37493,-121.98786
95051SRRSM2920S,2,SIERRA SEMICONDUCTOR,SANTA CLARA,500,0,500,37.37476,-121.9977
95051ZYCNC2981C,5,ZYCON CORP,SANTA CLARA,1250,0,1250,37.37525,-121.9926
95052HWLTT5301S,2,AGILENT TECHNOLOGIES INC,SANTA CLARA,12200,250,11950,37.32311,-121.99681
95052MMRXC1200M,3,"MEMOREX TECHNOLOGIES INC, TAPE PLANT",SANTA CLARA,83870,17218,66652,37.36254,-121.95304
95052NSYSP2300C,1,"SEQUEL INC, PERIPHERALS GROUP",SANTA CLARA,30500,29400,1100,37.37419,-121.9643
95052NSYSR1500M,3,UNISYS CORP RMCD,SANTA CLARA,146900,63600,83300,37.36324,-121.95578
95052NTLCR3065B,2,INTEL CORP SC1/2,SANTA CLARA,500,0,500,37.37704,-121.97766
95052NTLCR3601J,6,INTEL CORP D2 FACILITY,SANTA CLARA,78720,0,78720,37.383346,-121.965385
95052NTNLS2900S,14,NATIONAL SEMICONDUCTOR CORP,SANTA CLARA,94300,14750,79550,37.375281,-121.9989
95054CRXXC3391K,2,CIREXX CORP,SANTA CLARA,1000,1000,0,37.38198,-121.94852
95054GGMRP2175M,7,VAREX IMAGING,SANTA CLARA,9750,2250,7500,37.38875,-121.96323
95054LCTRG3001C,1,ELECTROGLAS,SANTA CLARA,6600,1980,4620,37.3763,-121.97255
95054NMTLF2262C,1,NU-METAL FINISHING INC,SANTA CLARA,250,250,0,37.41013,-121.96474
95054RPRDC1515N,1,AIR PRODUCTS MANUFACTURING CORP,SANTA CLARA,2,0,2,37.38466,-121.95694
95054SLCNX2201L,1,SILICONIX INC,SANTA CLARA,153,0,153,37.38404,-121.96424
95054VNTKN3175B,3,HEWLETT-PACKARD CO,SANTA CLARA,3452,0,3452,37.37847,-121.97766
95054VRNSS3560B,3,INTEVAC INC,SANTA CLARA,37660,500,37160,37.38518,-121.95257
95054WDMDC5101L,1,W D MEDIA CORP,SANTA CLARA,54500,54500,0,37.40679,-121.96662
95060SLZLT1040R,2,SALZ LEATHERS INC,SANTA CRUZ,37250,250,37000,36.98674,-122.03015
95060VTXPC511SW,1,VI TEX PACKAGING INC,SANTA CRUZ,10932,2733,8199,36.95703,-122.0487
95066SCTTS66ELP,1,SCOTTS VALLEY CIRCUITS,SANTA CRUZ,136,136,0,37.054895,-122.008322
95066SGTTC920DI,2,SEAGATE TECH INC,SANTA CRUZ,87700,45000,42700,37.04612,-122.0151
