geometry,SAMPLE_DATE,SITE_ID,SITE_NAME,SITE_TYPE,Total Coliform,Enterococcus,E. Coli
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-07-09T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,576,,5794
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-07-02T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,336,,4611
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-06-25T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,197,,2359
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-06-18T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,1565,,7270
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-06-11T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,231,,4611
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-06-04T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,305,,5475
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-05-29T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,323,,4611
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-05-21T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,359,,6488
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-05-14T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,435,,6488
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-05-07T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,122,,3873
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-04-30T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,259,,7701
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-04-23T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,313,,6488
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-04-16T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,480,,4611
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-04-09T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,272,,8664
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-04-02T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,218,,5794
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-03-26T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,161,,5172
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-03-19T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,120,,2755
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-03-12T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,120,,4106
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-03-05T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,246,,7270
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-02-26T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,6131,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-02-20T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,109,,1106
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-02-12T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,393,,2187
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-02-05T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,98,,3654
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-01-29T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,228,,3873
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-01-22T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,2489,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-01-16T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,389,,5794
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-01-08T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,146,,5172
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-01-02T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,350,,2481
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2017-12-18T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,435,,4884
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2017-12-11T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,1081,,6867
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2017-12-04T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,158,,1829
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2017-11-27T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,6131,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2017-11-20T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,905,,14136
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2017-11-13T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,1145,,15531
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2017-11-06T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,1607,,8164
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2017-10-30T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,1010,,7701
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2017-10-23T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,2064,,19863
