site_no,datetime,Q,waterTmax,waterTmin,EC
10343500,1971-03-22,6.90,5.0,2.2,NA
10343500,1971-03-23,11.0,2.8,1.7,NA
10343500,1971-03-24,11.0,3.9,1.7,NA
10343500,1971-03-25,14.0,2.8,0.6,NA
10343500,1971-03-26,25.0,0.6,0.0,NA
10343500,1971-03-27,18.0,3.3,0.6,NA
10343500,1971-03-28,16.0,3.9,1.1,NA
10343500,1971-03-29,17.0,4.4,1.1,NA
10343500,1971-03-30,18.0,3.9,1.1,NA
10343500,1971-03-31,16.0,3.9,0.6,NA
10343500,1971-04-01,15.0,4.4,0.6,NA
10343500,1971-04-02,15.0,4.4,1.1,NA
10343500,1971-04-03,16.0,5.0,1.1,NA
10343500,1971-04-04,18.0,5.0,1.1,NA
10343500,1971-04-05,22.0,4.4,1.7,NA
10343500,1971-04-06,25.0,3.3,1.7,NA
10343500,1971-04-07,24.0,3.3,1.7,NA
10343500,1971-04-08,23.0,4.4,0.6,NA
10343500,1971-04-09,26.0,4.4,1.1,NA
10343500,1971-04-10,26.0,3.3,1.1,NA
10343500,1971-04-11,25.0,NA,NA,NA
10343500,1971-04-12,30.0,NA,NA,NA
10343500,1971-04-13,33.0,3.9,1.1,NA
10343500,1971-04-14,36.0,3.9,1.1,NA
10343500,1971-04-15,42.0,5.0,1.1,NA
10343500,1971-04-16,45.0,4.4,1.1,NA
10343500,1971-04-17,37.0,3.3,0.0,NA
10343500,1971-04-18,29.0,3.3,0.6,NA
10343500,1971-04-19,29.0,5.6,0.6,NA
10343500,1971-04-20,28.0,3.3,0.6,NA
10343500,1971-04-21,24.0,3.9,0.6,NA
10343500,1971-04-22,22.0,3.9,0.6,NA
10343500,1971-04-23,23.0,5.6,0.6,NA
10343500,1971-04-24,22.0,3.3,0.0,NA
10343500,1971-04-25,20.0,2.8,1.1,NA
10343500,1971-04-26,19.0,3.9,0.6,NA
10343500,1971-04-27,20.0,NA,NA,NA
10343500,1971-04-28,23.0,6.7,1.1,NA
10343500,1971-04-29,29.0,6.1,0.6,NA
10343500,1971-04-30,36.0,6.1,1.1,NA
10343500,1971-05-01,43.0,5.6,1.1,NA
10343500,1971-05-02,49.0,4.4,1.7,NA
10343500,1971-05-03,54.0,4.4,1.7,NA
10343500,1971-05-04,51.0,4.4,1.7,NA
10343500,1971-05-05,54.0,4.4,1.7,NA
10343500,1971-05-06,50.0,3.3,1.7,NA
10343500,1971-05-07,54.0,5.0,1.7,NA
10343500,1971-05-08,71.0,3.9,1.7,NA
10343500,1971-05-09,75.0,5.6,1.7,NA
10343500,1971-05-10,88.0,7.2,1.1,NA
10343500,1971-05-11,87.0,6.7,1.7,NA
10343500,1971-05-12,94.0,7.2,1.7,NA
10343500,1971-05-13,116,7.2,2.2,NA
10343500,1971-05-14,117,8.9,1.7,NA
10343500,1971-05-15,119,9.4,1.1,NA
10343500,1971-05-16,102,8.9,1.1,NA
10343500,1971-05-17,85.0,8.9,0.6,NA
10343500,1971-05-18,80.0,10.0,1.1,NA
10343500,1971-05-19,82.0,10.0,1.7,NA
10343500,1971-05-20,87.0,10.6,2.2,NA
10343500,1971-05-21,80.0,3.3,1.1,NA
